date,a2c,ddpg,td3,ppo,sac,dji,nasdaq
2021-11-11,1044663.8945200997,1122268.7531155397,1066226.8048903504,1044662.9734618836,1122270.560715435,1046458.8975296255,1083870.3693005983
2021-11-12,1049841.645977314,1126026.0732144166,1070717.849705414,1049840.8170249634,1126027.9677245598,1051675.8095010067,1095188.743552713
2021-11-15,1043330.5900080758,1125086.6789883424,1073685.9673506776,1043330.1500098878,1125088.5734984856,1051301.1896116037,1094460.672580978
2021-11-16,1047723.9567797738,1142822.6885098268,1073217.1838042298,1047723.1296127015,1142824.5443923455,1052896.7380530736,1102617.140499278
2021-11-17,1049213.5962641793,1150116.0480374147,1070546.5584914247,1049213.6527106934,1150117.4597098809,1046744.9833139386,1102502.265318754
2021-11-18,1049605.825641926,1163155.6000393678,1071812.0327727357,1049605.8658759766,1163156.8185737114,1044994.1018988858,1114326.354446049
2021-11-19,1043248.8615267831,1168183.5933560182,1072094.9716841737,1043251.3243758851,1168184.3966491204,1037158.4922072919,1120435.733443367
2021-11-22,1038542.7876551705,1165255.241152649,1073280.9305693666,1038544.7384193116,1165256.575573681,1037661.58896642,1107431.3348462968
2021-11-23,1039642.9121096688,1156801.5491360475,1077001.6851775208,1039643.3408973389,1156803.482262371,1043329.2510538177,1102410.9593563029
2021-11-24,1039250.8870814401,1159177.3416775514,1077644.3262373963,1039250.8336570435,1159179.187897442,1043054.7725686292,1106540.9201567979
2021-11-26,1035404.7076647836,1127573.1546658326,1059347.039990143,1035405.8129470521,1127573.7165343743,1016689.1339976199,1083404.5966577264
2021-11-29,1038229.2144435006,1145088.2259243776,1070340.8350188294,1038230.9616477662,1145088.9036796074,1023581.821330893,1108665.7808953992
2021-11-30,1017830.2248232919,1129617.5826138307,1049468.370899872,1017831.3105323487,1129617.3622863274,1004581.241648719,1090864.0891272952
2021-12-01,1016025.2821467477,1109229.3723171998,1041054.421139435,1016027.0204398804,1109228.7464034539,991131.5682803923,1073408.5413657932
2021-12-02,1020969.3532031137,1125031.3802212526,1051553.282856659,1020970.4300277405,1125031.8358771782,1009127.8889941637,1081050.5797400454
2021-12-03,1022851.648334797,1103151.5584439088,1053693.7999846498,1022853.7694595032,1103151.4057166558,1007388.3872841356,1062207.8151433875
2021-12-06,1028658.1054995614,1115748.8915127565,1069256.1355101625,1028660.442055481,1115749.2988860589,1026235.4547455304,1071274.9659583247
