,date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
154,2022-05-12,83.02567411167408,75.13513894469637,34.95292699439881,96.29021736255135,147.2560669405622,74.2806254830393,70.1533427026196,132.2459799998079,165.34472817582736
155,2022-05-13,82.74991603217939,75.15413566430165,34.79661866826518,96.03548458740951,146.6697612243689,74.24341941362071,70.02287055668143,132.18223348156545,164.2695900846149
156,2022-05-16,82.63073357838017,75.31951014395443,34.64005336953254,95.85652891877135,146.16501871938266,74.25023334412558,69.96925594087321,132.1214829177,163.4253989501662
157,2022-05-17,82.5157018726662,75.78442704114036,34.48262574664213,95.63516996222455,145.823394563643,74.37580990360104,69.8921166404996,132.10530872347513,162.8654516937546
158,2022-05-18,82.70625864270193,76.26662848070902,34.384593287090446,95.62450188390771,145.63544315118023,74.45814408717641,69.89198201693873,132.0938990205723,162.35178936001194
159,2022-05-19,82.60930405773902,76.24613592396345,34.24126466417954,95.38147415755644,145.2703180048612,74.24374018353035,69.86570850710734,132.12678192951665,161.59557301459478
160,2022-05-20,82.5876691529149,76.24944077626789,34.11376831280525,95.11400914589066,144.65795210399241,73.8578475020285,69.86112817525756,132.03837487932054,160.60986178841915
161,2022-05-23,82.50031462218266,76.3575490059522,33.95873795107343,94.731851286736,144.24121519787462,73.476656205768,69.845752912295,131.89960412030183,159.49192566757682
162,2022-05-24,82.46468709173041,76.72335123973116,33.903869989562985,94.3331410309632,144.01251850906206,73.28592123333355,69.92269184271757,131.78545429912606,158.5178979213649
163,2022-05-25,82.43678465667703,77.04557846017691,33.84849843074439,94.02632983773822,143.58802328898108,73.15323589424438,70.09908001525096,131.77856492386258,157.46047611273025
164,2022-05-26,82.44415529872782,77.39290525092977,33.847441221326974,93.82656138907338,143.13284195924973,73.08860561760127,70.25446065072899,131.8206930576576,156.60633061513994
165,2022-05-27,82.57420655098483,77.9775117835377,33.89790443103954,93.77673789263352,142.88819269146606,73.07751475496782,70.43721056920822,131.89648278457423,156.15602942682582
166,2022-05-31,82.7288674660712,78.66985155635398,33.951451311940296,93.79289408826878,142.95405359189434,73.14101099657682,70.66351903657733,131.94848964899128,156.09652297000343
167,2022-06-01,82.7124566073208,79.06857869027311,34.014235409219054,93.75942244227056,142.8785775489789,73.20879713071483,70.81544642118024,131.91379200997278,156.04995622995193
168,2022-06-02,82.76491239018563,79.67884315663858,34.0251972739126,93.8027893301005,142.69025477081135,73.25069486507448,70.9383921708321,131.93288297035326,156.12760886027476
169,2022-06-03,82.98576332721211,80.22429007397339,34.064170876547074,93.9257045708267,142.85602919216396,73.31615784744261,71.12593844501457,131.93431495735723,156.4172454811079
170,2022-06-06,83.066406432868,80.89536464689313,34.051258434608656,94.06137161355748,142.9846266771998,73.32122212389487,71.30916111134704,131.9245220139751,156.7628395703689
171,2022-06-07,83.28453437314585,81.37167545507876,34.05585979631451,94.27289891608463,142.98165575156148,73.35516217241528,71.53853461281112,131.97287302216995,157.02615253704022
172,2022-06-08,83.54034368570579,82.20952144646824,34.0601990114764,94.5511200507301,142.93491211176251,73.30919163223318,71.73654082459447,132.03230378234508,157.22424627418408
173,2022-06-09,83.43446813937535,82.71549351012433,33.99542811933814,94.56196910974282,142.77038095820419,73.27733496807541,71.76154949910986,131.88817462034365,157.1694447346815
174,2022-06-10,83.29034807058366,82.86466926856923,33.885607688549776,94.46268407825488,142.4121664432613,73.10919645372033,71.67861825483871,131.62482099197717,156.89816445624427
175,2022-06-13,82.93543095178754,82.87036210330561,33.70819311633062,94.21539107712493,141.9233038587387,72.89173713568243,71.57498942078021,131.3076787642117,156.20429184773877
