,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2018-01-23,56.694854736328125,60.22579574584961,26.765827178955078,72.57250213623047,64.78408813476562,50.683101654052734,42.74332809448242,81.00257873535156,101.92438507080078
2018-01-24,56.9373664855957,60.06346893310547,26.945402145385742,72.50879669189453,64.28472900390625,50.78746032714844,42.48114776611328,81.24032592773438,102.35985565185547
2018-01-25,57.31460952758789,59.59192657470703,26.89152717590332,72.58161163330078,64.17166900634766,50.81355667114258,43.14081954956055,81.93521881103516,102.17997741699219
2018-01-26,57.56609344482422,59.91659927368164,27.08906364440918,73.41902160644531,65.1892318725586,51.057044982910156,43.166194915771484,83.6999282836914,103.18343353271484
2018-01-29,56.91041564941406,59.01216506958008,26.981313705444336,72.927490234375,64.59564208984375,50.85702896118164,42.6164665222168,83.47132110595703,102.89945220947266
2018-01-30,56.49723815917969,57.82170486450195,26.631145477294922,72.35404968261719,64.01148223876953,50.51786422729492,42.69257736206055,81.71577453613281,102.38825988769531
2018-01-31,56.542144775390625,57.86035919189453,26.702980041503906,72.57250213623047,64.49199676513672,50.28305435180664,43.166194915771484,80.55455017089844,102.05694580078125
2018-02-01,55.769691467285156,58.45558166503906,26.95438003540039,72.44507598876953,64.54854583740234,50.065643310546875,42.48960494995117,80.58197784423828,100.92097473144531
2018-02-02,54.30561065673828,56.01286697387695,26.36177635192871,70.98870086669922,62.635929107666016,49.10903549194336,42.18513488769531,79.44817352294922,99.95537567138672
2018-02-05,52.23075485229492,53.662879943847656,25.032913208007812,67.76651000976562,60.01667022705078,47.326255798339844,41.49163055419922,75.92790985107422,96.58538055419922
2018-02-06,53.937347412109375,54.088043212890625,25.490835189819336,69.0044174194336,61.74085235595703,47.848045349121094,40.87424850463867,76.76911926269531,99.05609130859375
2018-02-07,53.452308654785156,53.1836051940918,25.508792877197266,69.13184356689453,60.94942092895508,47.63932800292969,40.679725646972656,76.67768096923828,98.75316619873047
2018-02-08,51.57505798339844,51.57574462890625,24.38644027709961,66.4648666381836,58.42438507080078,46.613136291503906,40.22304153442383,74.01691436767578,94.81515502929688
2018-02-09,52.473262786865234,51.53707504272461,24.85334014892578,67.1839599609375,59.85649871826172,46.708805084228516,41.06877899169922,75.06842803955078,95.44940948486328
2018-02-12,53.53315353393555,52.37967300415039,25.20351219177246,68.2671127319336,60.93056869506836,47.187103271484375,41.38168716430664,75.77247619628906,96.74629974365234
2018-02-13,53.39842224121094,52.1632194519043,25.311260223388672,68.42185974121094,61.081329345703125,47.404518127441406,41.5677604675293,75.82734680175781,97.24803924560547
2018-02-14,54.116981506347656,52.920780181884766,25.912839889526367,69.28657531738281,62.20254135131836,47.37843322753906,41.10260772705078,76.68680572509766,98.80052947998047
2018-02-15,54.521183013916016,52.789363861083984,26.056501388549805,70.33335876464844,63.38966751098633,48.1611213684082,42.015987396240234,77.53717041015625,99.68087005615234
2018-02-16,54.323570251464844,52.657958984375,26.020580291748047,70.3515396118164,63.295448303222656,48.35245132446289,42.38810348510742,78.09495544433594,99.19810485839844
2018-02-20,54.0810661315918,52.371925354003906,25.93977165222168,69.64157104492188,63.35197067260742,47.256683349609375,41.83838653564453,77.23544311523438,98.89517211914062
2018-02-21,53.8924446105957,51.490699768066406,25.97568702697754,69.65977478027344,62.946834564208984,46.69140625,41.28866958618164,76.91543579101562,98.75316619873047
2018-02-22,54.2517204284668,52.05500411987305,25.76019859313965,70.12398529052734,63.02220916748047,46.813167572021484,41.500099182128906,76.79654693603516,98.87623596191406
2018-02-23,55.05112838745117,53.1836051940918,26.146286010742188,70.70655059814453,64.34126281738281,47.265377044677734,42.582637786865234,78.02180480957031,100.25833892822266
2018-02-26,55.293643951416016,53.50054931640625,26.541353225708008,71.68046569824219,65.34938049316406,47.56105041503906,42.455780029296875,79.00931549072266,101.100830078125
2018-02-27,54.53017044067383,52.80482482910156,26.289947509765625,70.77935791015625,64.68987274169922,46.934913635253906,41.77919006347656,78.18635559082031,98.9614486694336
