date,ensemble
2022-06-03,979936.7993422386
2022-06-06,980192.3176936026
2022-06-07,981903.3192602989
2022-06-08,979058.8159644004
2022-06-09,973957.5647581016
2022-06-10,967520.0206113732
2022-06-13,958366.6086025154
2022-06-14,958153.430062194
2022-06-15,958327.9359047844
2022-06-16,956211.6762673332
2022-06-17,956161.1227776484
2022-06-21,957566.375268718
2022-06-22,957513.353376304
2022-06-23,957526.4743332972
2022-06-24,957487.5999493708
2022-06-27,957226.1252446284
2022-06-28,954725.5012330164
2022-06-29,954734.7904175865
2022-06-30,953762.8716183768
2022-07-01,955267.771296035
2022-07-05,955282.227256881
2022-07-06,955620.360687362
2022-07-07,957695.6367968208
2022-07-08,957682.4700226428
2022-07-11,954638.1043467164
2022-07-12,952248.7316354588
2022-07-13,952164.3340977238
2022-07-14,952723.7915498036
2022-07-15,958939.5140475072
2022-07-18,955671.5682194968
2022-07-19,967044.4019271994
2022-07-20,970961.989510871
2022-07-21,980133.1335494224
2022-07-22,975789.1229028616
2022-07-25,973541.3604501945
2022-07-26,963148.0150175923
2022-07-27,983497.0331442024
2022-07-28,993597.7256700278
2022-07-29,1008394.7013898536
2022-08-01,1007588.6998839332
2022-08-02,1007268.706392295
2022-08-03,1009038.8213225164
2022-08-04,1009198.9109983282
2022-08-05,1007871.6580411748
2022-08-08,1007721.0959463492
2022-08-09,1004997.826349677
2022-08-10,1011797.0485163336
2022-08-11,1009950.0730854408
2022-08-12,1017356.6966268682
2022-08-15,1020065.0884422064
2022-08-16,1021261.5371381596
2022-08-17,1016780.3941770392
2022-08-18,1017044.8260151128
2022-08-19,1008441.829754714
2022-08-22,992130.5487708502
2022-08-23,989361.1322989722
2022-08-24,991000.4879265357
2022-08-25,1001659.3440478354
2022-08-26,970174.959260848
2022-08-29,962995.5483938742
2022-08-30,954211.6942329664
2022-08-31,946144.210529048
2022-09-01,952257.0305671722
2022-09-02,951309.741945819
2022-09-06,951173.0596609908
2022-09-07,953316.1959173612
2022-09-08,953219.7029570418
2022-09-09,953865.4097510404
2022-09-12,954988.0972472258
2022-09-13,947890.7815884736
2022-09-14,948905.8146029311
2022-09-15,946704.9881542618
2022-09-16,946464.5398622468
2022-09-19,946808.1289309266
2022-09-20,945729.6211050826
2022-09-21,943137.1690974532
2022-09-22,941320.7003256942
2022-09-23,938138.2889708969
2022-09-26,936301.4714595596
2022-09-27,936314.2384210768
2022-09-28,942589.7373352844
2022-09-29,933510.015834842
2022-09-30,933139.7998957932
2022-10-03,933787.7583619492
2022-10-04,935031.1080781356
2022-10-05,934584.5651374311
2022-10-06,933257.6968304472
2022-10-07,930061.1419429656
2022-10-10,929690.5941330368
2022-10-11,929417.2785866194
2022-10-12,928365.3312182876
2022-10-13,928141.686195033
2022-10-14,926874.4396118572
2022-10-17,929321.2014411724
2022-10-18,931603.3870821176
2022-10-19,929375.6804037044
2022-10-20,925506.4638087566
2022-10-21,932183.51475281
2022-10-24,935047.5081366756
2022-10-25,941762.6765811184
2022-10-26,942306.2448759484
2022-10-27,942754.324464934
2022-10-28,950429.6455414416
2022-10-31,949893.0698151845
2022-11-01,949823.4444638964
2022-11-02,948240.1227614044
2022-11-03,948214.9257292314
2022-11-04,948099.8089614244
2022-11-07,948272.6393482347
