date,ensemble,dji
2022-10-05,934584.5651374311,827492.706156191
2022-10-06,933257.6968304472,818009.881723616
2022-10-07,930061.1419429656,800785.6263897007
2022-10-10,929690.5941330368,798218.780613457
2022-10-11,929417.2785866194,799211.2238442628
2022-10-12,928365.3312182876,798436.5949427569
2022-10-13,928141.686195033,821065.2615506992
2022-10-14,926874.4396118572,810025.4917505492
2022-10-17,929321.2014411724,825086.0179750208
2022-10-18,931603.3870821176,834324.2283740534
2022-10-19,929375.6804037044,831591.1390141231
2022-10-20,925506.4638087566,829125.0857510457
2022-10-21,932183.51475281,849597.1235695925
2022-10-24,935047.5081366756,860996.8208717378
2022-10-25,941762.6765811184,870211.5414901597
2022-10-26,942306.2448759484,870276.2985444344
2022-10-27,942754.324464934,875583.6543158469
2022-10-28,950429.6455414416,898230.0984168422
2022-10-31,949893.0698151845,894708.1261294447
2022-11-01,949823.4444638964,892528.2744887637
2022-11-02,948240.1227614044,878712.8134083939
2022-11-03,948214.9257292314,874708.1795153097
2022-11-04,948099.8089614244,885695.4710101407
2022-11-07,948272.6393482347,897278.8690738353
2022-11-08,948226.2584026172,906403.5811238257
2022-11-09,947005.0481398609,888721.8089266506
2022-11-10,950158.5092725283,921561.216236777
2022-11-11,950091.7052814548,922449.2367155949
2022-11-14,949634.9511002948,916677.4773043342
2022-11-15,950343.5327615192,918214.2428149299
2022-11-16,949443.3158818652,917145.6713405991
2022-11-17,948030.6640315234,916940.4560754449
2022-11-18,949895.295075278,922389.9784054176
2022-11-21,949536.3987180088,921148.7570435975
2022-11-22,952545.9364888524,932022.6035752513
2022-11-23,954890.9604457922,934645.451123906
2022-11-25,955837.5946781224,938826.7388443562
2022-11-28,951054.1164108344,925226.3694141703
2022-11-29,950615.2761168432,925310.2919939887
2022-11-30,963400.8862567664,945461.6409213332
2022-12-01,963143.4222185658,940138.2160045485
2022-12-02,964631.9210432576,941091.2604669661
2022-12-05,953853.194313178,927895.2355784759
2022-12-06,948021.2560329122,918307.6680787228
2022-12-07,947254.67156964,918350.9106293927
2022-12-08,952429.8457387304,923368.2209961268
2022-12-09,947034.6402140798,915030.950455248
2022-12-12,955570.123503005,929478.8738785632
2022-12-13,957826.7136365424,932310.6737029237
2022-12-14,954703.992968421,928421.4066641575
2022-12-15,937207.8570847082,907534.9343754255
2022-12-16,926895.3334897528,899833.4894869885
