,date,dji
156,2022-08-17,928803.2223708129
157,2022-08-18,929314.8725012079
158,2022-08-19,921325.2507133685
159,2022-08-22,903746.2463063655
160,2022-08-23,899536.3437622621
161,2022-08-24,901166.5345366508
162,2022-08-25,909982.9966019897
163,2022-08-26,882420.3549626165
164,2022-08-29,877379.7683587316
165,2022-08-30,868957.7210641939
166,2022-08-31,861292.3116346485
167,2022-09-01,865282.7448876362
168,2022-09-02,856044.5344886034
169,2022-09-06,851312.037711775
170,2022-09-07,863228.8838884128
171,2022-09-08,868510.8279880736
172,2022-09-09,878820.8130133385
173,2022-09-12,885097.389164271
174,2022-09-13,850209.6729848838
175,2022-09-14,851032.9364094269
176,2022-09-15,846296.8627796419
177,2022-09-16,842486.5534352469
178,2022-09-19,847878.3656451281
179,2022-09-20,839310.6817108035
180,2022-09-21,825030.2297460701
181,2022-09-22,822102.8158374507
182,2022-09-23,808811.3370222966
183,2022-09-26,799802.2053700841
184,2022-09-27,796363.0879452047
185,2022-09-28,811362.3805824933
186,2022-09-29,798840.0319247473
187,2022-09-30,785170.5277993546
188,2022-10-03,
