date,dji
2022-06-28,845891.5039065107
2022-06-29,848141.611345564
2022-06-30,841202.142908622
2022-07-01,849998.905589767
2022-07-05,846460.8641569972
2022-07-06,848370.369777194
2022-07-07,857851.5926338184
2022-07-08,856583.304638431
2022-07-11,852092.1119715134
2022-07-12,846830.1341853718
2022-07-13,841129.965219109
2022-07-14,837231.6759691536
2022-07-15,855219.6161022446
2022-07-18,849325.1225872926
2022-07-19,869946.694213773
2022-07-20,871252.9395591929
2022-07-21,875682.6317096023
2022-07-22,871921.2238175699
2022-07-25,874401.744650069
2022-07-26,868156.0255291206
2022-07-27,880074.8469827644
2022-07-28,889150.7109662574
2022-07-29,897774.3966729929
2022-08-01,896497.0864664163
2022-08-02,885502.7480374022
2022-08-03,896882.5324118934
2022-08-04,894540.6012849978
2022-08-05,896635.6761720199
2022-08-08,897430.2713870449
2022-08-09,895841.4012721851
2022-08-10,910467.6334846823
2022-08-11,911210.0173237132
2022-08-12,922809.8048479704
2022-08-15,926947.8500177509
2022-08-16,933496.1602216582
2022-08-17,928803.2223708129
2022-08-18,929314.8725012079
2022-08-19,921325.2507133685
2022-08-22,903746.2463063655
2022-08-23,899536.3437622621
2022-08-24,901166.5345366508
2022-08-25,909982.9966019897
2022-08-26,882420.3549626165
2022-08-29,877379.7683587316
2022-08-30,868957.7210641939
2022-08-31,861292.3116346485
2022-09-01,865282.7448876362
2022-09-02,856044.5344886034
2022-09-06,851312.037711775
2022-09-07,863228.8838884128
2022-09-08,868510.8279880736
2022-09-09,878820.8130133385
2022-09-12,885097.389164271
2022-09-13,850209.6729848838
2022-09-14,851032.9364094269
2022-09-15,846296.8627796419
2022-09-16,842486.5534352469
2022-09-19,847878.3656451281
2022-09-20,839310.6817108035
2022-09-21,825030.2297460701
2022-09-22,822102.8158374507
2022-09-23,808811.3370222966
2022-09-26,799802.2053700841
2022-09-27,796363.0879452047
2022-09-28,811362.3805824933
2022-09-29,798840.0319247473
2022-09-30,785170.5277993546
2022-10-03,
