date,a2c,dji
2021-12-06,1071114.022347809,1026235.4547455304
2021-12-07,1081377.180184723,1040580.0281169752
2021-12-08,1080140.884293915,1041608.9810452805
2021-12-09,1075398.9486860048,1041607.2740895269
2021-12-10,1089798.404366852,1047908.4443556322
2021-12-13,1089288.0579236757,1038585.0520291493
2021-12-14,1087615.7576535952,1035474.6372548327
2021-12-15,1099556.6865934145,1046639.4934483625
2021-12-16,1096493.307793976,1045771.6771432024
2021-12-17,1081475.4946225893,1030267.6256268226
2021-12-20,1075842.4234098208,1017645.256813769
2021-12-21,1084108.1113828432,1033974.9059296683
2021-12-22,1095300.14897287,1041583.9456942269
2021-12-23,1102098.174363495,1047313.2857828566
2021-12-27,1113481.6438001406,1057562.5309101238
2021-12-28,1117790.2898191225,1060354.3139437574
2021-12-29,1121921.7480710756,1062988.374265753
2021-12-30,1118235.769639374,1060350.4448440492
2021-12-31,1122335.070748688,1058609.0085841666
2022-01-03,1133138.734444977,1065797.568248074
2022-01-04,1135775.0525220644,1072049.0092032226
2022-01-05,1124630.9741147768,1060613.543624213
2022-01-06,1121626.8309186709,1055642.4332813583
2022-01-07,1116124.5179303896,1055502.3491125081
2022-01-10,1107983.9466489565,1050759.9708406439
2022-01-11,1110666.6446164858,1056095.4593383793
2022-01-12,1113406.3158658755,1057211.239416021
2022-01-13,1107235.954102875,1052063.629848238
2022-01-14,1106879.250939728,1046184.4190444371
2022-01-18,1089282.7300275576,1030355.8183407617
2022-01-19,1087445.1404279482,1020456.1577518436
2022-01-20,1076223.767823578,1011330.3171045842
2022-01-21,1066682.2811139834,998220.3279312357
2022-01-24,1068303.3074735415,1001108.155675275
2022-01-25,1054480.9934095156,999163.022695456
2022-01-26,1047375.637582184,995386.3261919615
2022-01-27,1044154.8904584658,995173.4119109552
2022-01-28,1059684.627236725,1011623.9134942136
2022-01-31,1075194.4289335024,1023462.903413388
2022-02-01,1076603.6027692568,1031426.9899747075
2022-02-02,1083308.5415662539,1037955.1853560493
2022-02-03,1072992.9794858706,1022859.8928441457
2022-02-04,1073408.3383497011,1022235.829820608
2022-02-07,1074053.0556806338,1022276.3415704949
2022-02-08,1081651.3812268984,1033103.3343218503
2022-02-09,1086430.3074201357,1041996.6875954616
2022-02-10,1072479.5869306338,1026659.5763517894
2022-02-11,1059969.9409040224,1011990.6813871495
2022-02-14,1059856.150071503,1006983.2697852672
2022-02-15,1068643.5850538027,1019296.4520128081
2022-02-16,1070977.1139539492,1017706.7072209007
2022-02-17,1067318.7123883974,999579.633696399
2022-02-18,1066587.3611921084,992796.1915313601
2022-02-22,1051156.7482999575,978737.931538329
2022-02-23,1034441.5748380434,965195.9687622546
2022-02-24,1029180.8979429018,967878.051439453
2022-02-25,1058360.4834913027,992201.0329585845
2022-02-28,1050937.2847303164,987360.7892235103
2022-03-01,1041706.9433149111,969949.9543332437
2022-03-02,1056132.0944226992,987324.3741674323
2022-03-03,1054508.335099579,984507.5557827451
2022-03-04,1049466.5727552187,979267.8844013149
2022-03-07,1020564.7594617617,956037.3545645248
2022-03-08,1001838.0381177675,950655.55066734
2022-03-09,1016317.4612287295,969696.5283023505
2022-03-10,1011903.4145520937,966428.5046134462
2022-03-11,997741.2382673037,959731.6620036429
2022-03-14,996236.33496225,959762.1596131083
2022-03-15,1021929.9520429384,977215.2132090154
