date,a2c,dji
2021-12-15,1099556.5888414956,1046639.4934483625
2021-12-16,1096493.3150530434,1045771.6771432024
2021-12-17,1081475.4543123818,1030267.6256268226
2021-12-20,1075842.4306688881,1017645.256813769
2021-12-21,1084108.042340336,1033974.9059296683
2021-12-22,1095299.8986330605,1041583.9456942269
2021-12-23,1102098.0766115761,1047313.2857828566
2021-12-27,1113481.4221850014,1057562.5309101238
2021-12-28,1117790.1920672036,1060354.3139437574
2021-12-29,1121921.879208622,1062988.374265753
2021-12-30,1118235.6243105507,1060350.4448440492
2021-12-31,1122335.00171381,1058609.0085841666
2022-01-03,1133138.7129870034,1065797.568248074
2022-01-04,1135774.983479557,1072049.0092032226
2022-01-05,1124630.9050875283,1060613.543624213
2022-01-06,1121626.8381777382,1055642.4332813583
2022-01-07,1116124.3726015664,1055502.3491125081
2022-01-10,1107983.9063311196,1050759.9708406439
2022-01-11,1110666.5468721963,1056095.4593383793
2022-01-12,1113406.1705446816,1057211.239416021
2022-01-13,1107235.9137926674,1052063.629848238
2022-01-14,1106879.210621891,1046184.4190444371
2022-01-18,1089282.5847139931,1030355.8183407617
2022-01-19,1087445.1764040566,1020456.1577518436
2022-01-20,1076223.7463656045,1011330.3171045842
2022-01-21,1066682.1546526528,998220.3279312357
2022-01-24,1068303.1621447182,1001108.155675275
2022-01-25,1054480.9243746377,999163.022695456
2022-01-26,1047375.6161165811,995386.3261919615
2022-01-27,1044154.8214083292,995173.4119109552
2022-01-28,1059684.6344957924,1011623.9134942136
2022-01-31,1075194.2360354043,1023462.903413388
2022-02-01,1076603.638760624,1031426.9899747075
2022-02-02,1083308.4725008584,1037955.1853560493
2022-02-03,1072993.1393099404,1022859.8928441457
2022-02-04,1073408.3743105507,1022235.829820608
2022-02-07,1074052.9866610146,1022276.3415704949
2022-02-08,1081651.2834597207,1033103.3343218503
2022-02-09,1086430.2096376992,1041996.6875954616
2022-02-10,1072479.3652926064,1026659.5763517894
2022-02-11,1059969.8431673623,1011990.6813871495
2022-02-14,1059856.052319584,1006983.2697852672
2022-02-15,1068643.5923281289,1019296.4520128081
