date,ddpg,dji
2021-12-07,1081377.2532846224,1040580.0281169752
2021-12-08,1080140.7760888827,1041608.9810452805
2021-12-09,1075399.0792276156,1041607.2740895269
2021-12-10,1089798.4774667514,1047908.4443556322
2021-12-13,1089288.1786004794,1038585.0520291493
2021-12-14,1087615.8307458651,1035474.6372548327
2021-12-15,1099556.7309915316,1046639.4934483625
2021-12-16,1096493.45719545,1045771.6771432024
2021-12-17,1081475.596447159,1030267.6256268226
2021-12-20,1075842.5441018832,1017645.256813769
2021-12-21,1084108.2607766879,1033974.9059296683
2021-12-22,1095300.1457864535,1041583.9456942269
2021-12-23,1102098.2187539828,1047313.2857828566
2021-12-27,1113481.593044449,1057562.5309101238
2021-12-28,1117790.3054925692,1060354.3139437574
2021-12-29,1121921.945049454,1062988.374265753
2021-12-30,1118235.9190561068,1060350.4448440492
2021-12-31,1122335.220150162,1058609.0085841666
2022-01-03,1133138.70253389,1065797.568248074
2022-01-04,1135775.1256219638,1072049.0092032226
2022-01-05,1124631.1235162509,1060613.543624213
2022-01-06,1121626.9040185702,1055642.4332813583
2022-01-07,1116124.6197549594,1055502.3491125081
2022-01-10,1107983.9147378695,1050759.9708406439
2022-01-11,1110666.7653085482,1056095.4593383793
2022-01-12,1113406.3126718295,1057211.239416021
2022-01-13,1107235.874622513,1052063.629848238
2022-01-14,1106879.3716165316,1046184.4190444371
2022-01-18,1089282.803150345,1030355.8183407617
2022-01-19,1087445.2898370516,1020456.1577518436
2022-01-20,1076223.8122216952,1011330.3171045842
2022-01-21,1066682.4305230868,998220.3279312357
2022-01-24,1068303.4092904818,1001108.155675275
2022-01-25,1054481.1715204013,999163.022695456
2022-01-26,1047375.6532556306,995386.3261919615
2022-01-27,1044155.0398523103,995173.4119109552
2022-01-28,1059684.65275972,1011623.9134942136
2022-01-31,1075194.3494531405,1023462.903413388
2022-02-01,1076603.6758767855,1031426.9899747075
2022-02-02,1083308.5096475375,1037955.1853560493
2022-02-03,1072993.2051660311,1022859.8928441457
2022-02-04,1073408.3827096713,1022235.829820608
2022-02-07,1074053.23378389,1022276.3415704949
2022-02-08,1081651.5018960726,1033103.3343218503
2022-02-09,1086430.332966019,1041996.6875954616
2022-02-10,1072479.7650491488,1026659.5763517894
2022-02-11,1059969.9853250277,1011990.6813871495
2022-02-14,1059856.2707406771,1006983.2697852672
2022-02-15,1068643.7344857943,1019296.4520128081
2022-02-16,1070977.1107980502,1017706.7072209007
2022-02-17,1067318.7854959262,999579.633696399
2022-02-18,1066587.5105783236,992796.1915313601
2022-02-22,1051156.7738382113,978737.931538329
2022-02-23,1034441.495388199,965195.9687622546
