date,ensemble,ndx
2022-09-22,937779.6026963994,696994.9718934025
2022-09-23,932255.4277877614,685456.1998914416
2022-09-26,929419.9904594228,681994.1540360374
2022-09-27,929869.4881160544,683063.108998964
2022-09-28,939215.526097019,696521.0643839568
2022-09-29,932396.0749641987,676580.7904597353
2022-09-30,932011.4502038992,664851.1061668813
2022-10-03,933103.2006872216,680516.743824585
2022-10-04,934706.266177944,701896.8491305265
2022-10-05,934466.8692971992,701329.6159289734
2022-10-06,933048.9429199066,696016.2653010933
2022-10-07,927228.1806161728,668987.0262493156
2022-10-10,925244.4141019668,662169.5755639842
2022-10-11,923412.8864903868,653951.0559118541
2022-10-12,921593.6174415587,653603.8511968295
2022-10-13,921198.1504207456,668630.1161357459
2022-10-14,919854.5480033188,647934.1230687144
2022-10-17,922620.5656921176,670384.4852812897
2022-10-18,924721.217345541,675548.1715620933
2022-10-19,923405.6931413404,672859.9537028818
2022-10-20,919967.3851513768,669425.781278665
2022-10-21,928692.1124920256,685401.044821661
2022-10-24,931692.090929144,692668.7313126693
2022-10-25,938539.9946583082,707196.2926324425
2022-10-26,939025.0601020758,691192.563865665
2022-10-27,938694.9121748258,678207.8650182639
2022-10-28,947379.275824194,699695.2623215361
2022-10-31,946746.276863745,691172.5612759806
2022-11-01,946645.0172601492,684105.4332951509
2022-11-02,943923.099840105,660919.4137087098
2022-11-03,944347.8820750372,647845.6500758796
2022-11-04,944189.347169962,657931.2753627511
2022-11-07,944482.04851956,665201.3882033958
2022-11-08,944417.4865716228,670200.8520393055
2022-11-09,942774.8748688792,654326.7850299198
2022-11-10,949186.92906259,703316.0861299676
2022-11-11,949051.7695425932,716105.6117797972
2022-11-14,948681.4628030992,709071.8609012811
2022-11-15,949288.398897078,719386.5099221129
2022-11-16,947851.056805266,708959.7162046779
2022-11-17,946416.4192452148,707612.6187224713
2022-11-18,948134.52446456,707622.264941757
2022-11-21,946793.1539433504,700134.0173508854
2022-11-22,952577.3076017672,710520.1549170982
2022-11-23,954790.9733015352,717421.2258959918
2022-11-25,955616.6591322238,712410.2812837544
2022-11-28,946306.1658736484,702212.570479539
2022-11-29,946905.5908152834,697104.0392685159
2022-11-30,964640.8781244722,729016.3365529218
2022-12-01,964605.0104477144,729733.2341015511
2022-12-02,965016.468876288,726846.8840817971
2022-12-05,946448.3992211978,714274.9013896
2022-12-06,935731.6967710176,699906.1772021134
2022-12-07,934465.2852435708,696736.7727845475
2022-12-08,940235.5775897852,705227.3986714967
2022-12-09,930900.6934686458,700732.7339184504
2022-12-12,943647.8907791468,709405.1584903419
2022-12-13,949803.4024598796,717147.9360759843
2022-12-14,945507.388198016,711494.6006027289
2022-12-15,926858.6105747478,687515.3422230049
2022-12-16,916376.1095033672,681364.486715795
2022-12-19,909409.601207934,671721.285572357
2022-12-20,909990.3264251086,670983.793641449
2022-12-21,923366.2139876392,680889.3956211609
2022-12-22,909654.4092590854,663937.2600428979
2022-12-23,917045.7683979176,665713.4663351681
2022-12-27,915449.663101508,655839.3477214683
2022-12-28,904730.6291245412,647163.3132147522
2022-12-29,918041.1342629154,663628.8177427942
2022-12-30,915463.306976508,662944.6463246248
2023-01-03,909404.6172986438,658271.2010288669
2023-01-04,916960.8140149524,661432.0836330763
2023-01-05,908809.99672692,650913.2069879816
2023-01-06,928833.5459021366,669040.3467620541
2023-01-09,926832.9144919956,673167.2124177971
2023-01-10,933562.8728921496,679065.3724872783
2023-01-11,944159.7318418416,690987.6852695484
2023-01-12,946617.5844939868,694447.3639545758
2023-01-13,950141.6715064686,699408.6571681588
2023-01-17,947176.8895912692,700360.6739144688
2023-01-18,931979.0692483508,691458.5746367637
2023-01-19,925607.9136710194,684512.6457792287
2023-01-20,938912.1383819872,704108.141338062
2023-01-23,947666.8994601772,719470.7220082694
2023-01-24,946152.2684865482,717901.1696898984
2023-01-25,946441.436292548,715965.0610386718
2023-01-26,951832.6623815371,730314.4336083275
2023-01-27,949800.7397250928,737290.6030674267
2023-01-30,940290.5405139416,721885.5908682141
2023-01-31,953644.495657092,733371.6341500308
2023-02-01,962996.0093469532,749198.4169311387
2023-02-02,966013.2325971096,775864.6504056265
2023-02-03,959931.8992459744,761940.1257393562
2023-02-06,953320.9374158352,755343.827946482
2023-02-07,964288.008903262,771327.5541235753
2023-02-08,957769.2760846585,757214.5435160481
2023-02-09,949800.7790448637,750293.4699474701
2023-02-10,954027.389823672,745672.7533718566
2023-02-13,964435.69705939,757634.4795409015
2023-02-14,962048.8949964016,763002.3934459679
2023-02-15,962032.2278363674,768880.5509257648
2023-02-16,950616.1275708644,754008.8622124569
2023-02-17,951220.6882474392,748900.2718221743
2023-02-21,936117.1812665432,730848.8815001611
2023-02-22,935026.7615354032,731210.6443130033
2023-02-23,940261.7678296536,738111.1234993028
2023-02-24,930787.147689578,725355.5667443809
2023-02-27,931169.1638791532,730696.7908034484
2023-02-28,927552.525825259,729747.2004067745
2023-03-01,925024.3712155788,723472.1276340393
2023-03-02,932794.3775479764,729913.8492013048
2023-03-03,945457.870406863,744817.6722524787
2023-03-06,944861.5921246976,745524.9235818223
2023-03-07,930061.0345914334,736416.1703302179
2023-03-08,930532.4307553738,740243.6481125485
2023-03-09,916100.8835904568,726945.062473177
2023-03-10,915184.804364726,716909.7987360731
2023-03-13,915157.2202296704,722538.8707129656
2023-03-14,915113.3337214916,739301.9285573778
2023-03-15,914775.437356326,742424.6405392603
2023-03-16,914731.1937255352,762426.6976103177
2023-03-17,914231.3717515436,758699.2327764091
2023-03-20,915154.2422849148,761288.6804516467
2023-03-21,916182.3426225156,772125.7047953901
2023-03-22,916046.4786170452,761563.8048286961
2023-03-23,916152.7500924558,771385.7865148458
2023-03-24,916892.0355998486,773677.6216944536
2023-03-27,917078.650723788,767982.5056640469
2023-03-28,916650.1107884852,764195.033061085
2023-03-29,919255.9308474988,778463.8034794091
2023-03-30,921052.0858378856,785560.5802692089
2023-03-31,925008.5377522914,798784.0082491153
2023-04-03,926689.1758401362,796784.2227147515
2023-04-04,924464.126983401,
