date,a2c,ddpg,td3,ppo,sac,dji,nasdaq
2022-01-07,1027428.4320704498,1058453.7787775425,1044829.3878565675,1072718.5330856931,1067606.6605704727,1055502.3491125081,1054105.4177841963
2022-01-10,1021410.2086898498,1050331.8702234654,1037782.9700480348,1067924.233326782,1061754.0620063248,1050759.9708406439,1055608.8962244687
2022-01-11,1031939.9757339477,1054652.9845270542,1050364.0499659425,1074166.4171799314,1072494.2069571915,1056095.4593383793,1071137.049721477
2022-01-12,1036886.6633191528,1059136.3300623326,1055041.9291239625,1078056.0397843015,1077620.9247229996,1057211.239416021,1075259.55023726
2022-01-13,1022323.7979675598,1051183.24655098,1043864.5320521242,1068029.2690170896,1067043.2376120987,1052063.629848238,1047576.8103981843
2022-01-14,1021028.4140684739,1046751.227446976,1042375.3820124513,1063447.959095825,1069132.6991599503,1046184.4190444371,1055416.9094285124
2022-01-18,1004630.3970431747,1030660.096663895,1027909.2047282106,1047637.5371903075,1053932.2347052994,1030355.8183407617,1028318.9106663915
2022-01-19,991571.5547018127,1021543.9013361362,1013016.1643916017,1040064.353779663,1045663.259950966,1020456.1577518436,1017304.7575820095
2022-01-20,976966.6852333832,1009382.48974556,998586.9439020997,1028332.9815415038,1034545.1618674699,1011330.3171045842,1003690.5302248813
2022-01-21,954698.473224472,994152.7983087924,976873.1047907716,1012395.5641983642,1018236.7867453996,998220.3279312357,976103.7837837838
2022-01-24,962679.8403577652,998535.3174890903,985314.5444193727,1014913.0742996825,1020775.2737983171,1001108.155675275,980915.8654838044
2022-01-25,952431.8140963211,984516.5504145053,981083.6993189699,1002817.231526245,1011767.8773978654,999163.022695456,956547.0765421911
2022-01-26,947932.500659954,977847.3027643588,976563.7612391359,995884.9952438964,1008556.9570334855,995386.3261919615,958145.2279760677
2022-01-27,933013.0663429565,968053.5824579623,963855.4305048829,989931.3718002929,1007688.5310996476,995173.4119109552,946676.1295646792
2022-01-28,949772.6383239479,982533.9439997104,976103.1205225831,1004734.5011643065,1026034.7881339494,1011623.9134942136,977199.6533938518
2022-01-31,977298.5604724311,1004779.30224556,998192.3891077882,1023226.7179154052,1043104.7473166886,1023462.903413388,1009341.5968640395
2022-02-01,983679.2136060905,1008364.2604669955,1011752.7851801759,1028300.6864212645,1052627.8313773575,1031426.9899747075,1015400.9985558076
2022-02-02,981801.4650155602,1011795.64939827,1011874.6056528932,1033697.9596909179,1060322.644525856,1037955.1853560493,1023517.6562822363
2022-02-03,958636.3125853539,993948.6174005893,990237.7783137208,1018085.0015457763,1041074.6193717424,1022859.8928441457,980343.272127089
2022-02-04,978059.9150297355,1000072.1833032992,1005072.5466929323,1019641.1011246337,1038152.6917823259,1022235.829820608,993407.1549412007
2022-02-07,977194.6468267327,999451.2761072543,1006738.7538615114,1018202.9844864501,1036707.9394477311,1022276.3415704949,985085.0422942026
