date,ensemble,dji
2022-04-26,937262.422525024,908572.5420480419
2022-04-27,937469.4678146358,910260.389556657
2022-04-28,938410.888389587,927055.7962368303
2022-04-29,936024.1928749082,901384.669181141
2022-05-02,935933.643912506,903688.589572139
2022-05-03,936008.2605339048,905527.8393939637
2022-05-04,937163.2305351256,931010.0872591964
2022-05-05,935697.7112686156,901952.0541546214
2022-05-06,935447.16712265,899257.0289164537
2022-05-09,933852.3447761532,881389.8476100483
2022-05-10,933740.9617385862,879067.6158673469
2022-05-11,933739.9131225584,870139.6307299716
2022-05-12,933546.1646301268,867302.1720039186
2022-05-13,933502.110154724,880049.4353110127
2022-05-16,933520.228159332,880780.8750477136
2022-05-17,933990.7600822446,892566.2852246611
2022-05-18,933945.5064308164,860735.817377633
2022-05-19,933945.5064308164,854259.4179339136
2022-05-20,933945.5064308164,854499.1204678736
2022-05-23,934294.5863800046,871400.5514759857
2022-05-24,934686.5961196896,872722.919352643
2022-05-25,934763.5397811888,877961.6742874989
2022-05-26,935722.7501541136,892090.6705531576
2022-05-27,937646.607710266,907828.5566330603
2022-05-31,935939.537031555,901737.549748953
2022-06-01,934593.73946228,896902.4987254125
2022-06-02,937612.1049026486,908793.9866161636
2022-06-03,935880.514424896,899265.9977417779
2022-06-06,937001.6345520016,899705.5769543898
2022-06-07,938544.0079399104,906931.4605571884
2022-06-08,933631.7537147516,899572.1122918285
2022-06-09,927432.6625137324,882130.3095579384
2022-06-10,922738.0190551752,858076.7742124917
2022-06-13,911079.3981315608,834131.2384719898
2022-06-14,910764.5623199458,829978.9926621128
2022-06-15,910790.0913646691,838280.1743582352
2022-06-16,909872.1236492152,818013.4585765727
2022-06-17,909831.5587215418,816966.8286927671
2022-06-21,910218.0582000726,834500.5085003644
2022-06-22,910197.4645908348,833212.5745066479
2022-06-23,910360.9858989707,838521.531854011
2022-06-24,910340.2410938255,861025.8093964461
2022-06-27,910292.1253856652,859319.6505361276
2022-06-28,909872.7215091698,845891.5039065107
2022-06-29,909839.2398212424,848141.611345564
2022-06-30,909791.9339977256,841202.142908622
2022-07-01,911366.6836879724,849998.905589767
2022-07-05,908769.0942607874,846460.8641569972
2022-07-06,909581.2173686976,848370.369777194
2022-07-07,910384.6133041376,857851.5926338184
2022-07-08,909492.2701698296,856583.304638431
2022-07-11,908870.5473943704,852092.1119715134
2022-07-12,907712.475094604,846830.1341853718
2022-07-13,906535.7824644084,841129.965219109
2022-07-14,903613.9537097926,837231.6759691536
