date,ensemble
2022-08-09,947328.5774393076
2022-08-10,951498.2171812052
2022-08-11,954254.1760854716
2022-08-12,958413.8361444467
2022-08-15,957816.2616388316
2022-08-16,959763.1608495706
2022-08-17,957736.8649583812
2022-08-18,961507.583963966
2022-08-19,956326.9557558056
2022-08-22,949182.3345659252
2022-08-23,954297.2208677288
2022-08-24,957342.5626268382
2022-08-25,965750.5965974804
2022-08-26,947492.735198402
2022-08-29,947232.785256004
2022-08-30,934064.3595949168
2022-08-31,927230.023359489
2022-09-01,922030.3730958937
2022-09-02,921239.5419290538
2022-09-06,921078.5753416056
2022-09-07,921940.5877382272
2022-09-08,921871.328947639
2022-09-09,922358.7624120708
2022-09-12,922974.0721555706
2022-09-13,919348.368258476
2022-09-14,919696.495171165
2022-09-15,917449.0052751536
2022-09-16,917278.4793542858
2022-09-19,917569.3458513255
2022-09-20,916760.7354806896
2022-09-21,915301.5917623516
2022-09-22,914055.7709468838
2022-09-23,909150.2578538893
2022-09-26,906667.7058862684
2022-09-27,906155.7848485945
2022-09-28,912456.7979043956
2022-09-29,908853.7534637448
2022-09-30,908568.1940319056
2022-10-03,909589.927438354
2022-10-04,910669.902566528
2022-10-05,910553.454762077
2022-10-06,909362.3585866924
2022-10-07,905333.112980842
2022-10-10,904121.4883913036
2022-10-11,903648.8159891124
2022-10-12,902429.4679822916
2022-10-13,902078.8973424908
2022-10-14,900719.0474966044
2022-10-17,903103.8999608988
2022-10-18,905260.8325281136
2022-10-19,904107.2371171945
2022-10-20,900100.620850181
2022-10-21,908204.0163148874
2022-10-24,912552.6523199074
2022-10-25,918859.5106042856
2022-10-26,920740.8834909432
2022-10-27,921378.9916296
2022-10-28,930093.350764274
2022-10-31,929441.2619237896
2022-11-01,929323.6060567852
2022-11-02,926621.0432104106
2022-11-03,926935.5728361126
2022-11-04,926761.9811246868
2022-11-07,926937.5284940716
2022-11-08,926878.8620862956
2022-11-09,925562.559955406
2022-11-10,930191.519330406
2022-11-11,930071.6375097274
2022-11-14,929595.8384336472
2022-11-15,930478.2101545332
2022-11-16,929254.400154686
2022-11-17,928017.946210289
2022-11-18,929939.7552946092
2022-11-21,928767.5027723312
2022-11-22,933844.1439603803
2022-11-23,936150.8535161972
2022-11-25,937335.5874708174
2022-11-28,930122.6518941878
2022-11-29,930434.415272331
2022-11-30,946322.1641119
2022-12-01,945885.573689079
2022-12-02,946141.2789510724
2022-12-05,929378.3816801067
2022-12-06,919067.0674375532
2022-12-07,918967.590814018
2022-12-08,924606.7219785688
2022-12-09,915271.9670347212
2022-12-12,927307.8091672896
2022-12-13,931034.5456174848
2022-12-14,928461.5407041548
2022-12-15,913333.0044797896
2022-12-16,901738.603692436
2022-12-19,896290.7406858442
2022-12-20,895782.2567991255
2022-12-21,909421.0217527387
2022-12-22,898041.9163755415
2022-12-23,906028.8777402876
2022-12-27,905146.1209348676
2022-12-28,894873.4730772016
2022-12-29,906645.1283506393
2022-12-30,904010.6915525434
2023-01-03,897564.9800352094
2023-01-04,903734.5868162152
2023-01-05,896823.1077199933
2023-01-06,914135.4442045208
2023-01-09,911100.5115583416
2023-01-10,915947.092200279
2023-01-11,924022.881765556
2023-01-12,924981.1083951948
2023-01-13,926144.1618024824
2023-01-17,923647.984071922
2023-01-18,910325.2941862104
2023-01-19,902464.9012441632
2023-01-20,909469.5159658428
2023-01-23,913482.2385290142
2023-01-24,915942.356400108
2023-01-25,911754.7812078472
2023-01-26,914311.7429426188
2023-01-27,915565.4616331096
2023-01-30,911429.2602842328
2023-01-31,918634.7465040204
2023-02-01,921515.3831327434
2023-02-02,924792.8591306682
2023-02-03,917706.9498327252
2023-02-06,918885.8021680828
2023-02-07,919962.8529294964
2023-02-08,913285.4452756878
2023-02-09,905994.373258781
2023-02-10,914235.5189268108
2023-02-13,919789.0898344036
2023-02-14,917349.8317335123
2023-02-15,922032.7636022564
2023-02-16,914935.195438194
2023-02-17,921282.4310743328
2023-02-21,904338.4105024332
2023-02-22,901902.5076490398
2023-02-23,902481.5569311138
2023-02-24,899686.7857694621
2023-02-27,901912.6931882856
2023-02-28,894769.7051671977
2023-03-01,891271.6051694866
2023-03-02,904063.9395162578
2023-03-03,916033.2053396832
2023-03-06,916745.3487723004
2023-03-07,903693.7640402446
2023-03-08,907691.6947348248
2023-03-09,896705.7530386577
2023-03-10,895809.0967155071
2023-03-13,895834.8759574505
2023-03-14,895818.6698966594
2023-03-15,895647.8776382061
2023-03-16,895631.6381240459
2023-03-17,895391.5166175456
2023-03-20,895732.4873550029
2023-03-21,895652.0057113261
2023-03-22,895602.981771812
2023-03-23,895493.5950126261
2023-03-24,895952.1688941568
2023-03-27,896201.8392936318
2023-03-28,896456.2115768045
2023-03-29,897628.2102943034
2023-03-30,897909.7522307963
2023-03-31,899153.7238837809
2023-04-03,898915.2942313761
2023-04-04,897167.2212630839
